ID,ENERGY,COST,tout-droit,devant-droite,droite,derriere-droite,derriere,derriere-gauche,gauche,devant-gauche
NewCHILD,,,1000,90,133,677,779,758,734,413,
NewCHILD,,,908,294,112,609,781,860,323,1000,
NewCHILD,,,983,84,217,344,1000,478,362,462,
NewCHILD,,,1000,461,394,252,823,841,362,348,
NewCHILD,,,1000,49,397,686,734,529,425,290,
NewCHILD,,,1000,351,395,641,833,784,521,870,
NewCHILD,,,1000,164,158,583,940,529,179,985,
NewCHILD,,,1000,49,397,686,800,529,425,290,
NewCHILD,,,1000,837,499,464,784,597,553,352,
NewCHILD,,,1000,440,331,548,876,749,197,588,
NewCHILD,,,778,252,96,522,669,737,277,1000,
NewCHILD,,,1000,206,224,863,601,722,193,350,
NewCHILD,,,1000,408,414,385,650,495,458,292,
NewCHILD,,,1000,49,397,686,734,529,425,433,
NewCHILD,,,1000,164,575,583,940,529,179,558,
NewCHILD,,,1000,143,300,299,872,797,476,636,
NewCHILD,,,1000,206,224,863,601,722,193,563,
NewCHILD,,,1000,461,394,252,921,823,362,348,
NewCHILD,,,967,395,400,372,1000,479,443,283,
NewCHILD,,,1000,323,276,671,860,947,355,620,
NewCHILD,,,1000,49,397,677,734,529,425,494,
NewCHILD,,,1000,49,397,686,734,529,425,368,
NewCHILD,,,1000,206,224,424,601,722,193,526,
NewCHILD,,,1000,461,794,252,921,823,362,348,
NewCHILD,,,1000,366,371,345,926,444,410,262,
NewCHILD,,,1000,90,611,677,779,758,734,413,
NewCHILD,,,1000,206,224,424,648,722,193,350,
NewCHILD,,,1000,164,158,834,940,529,179,985,
NewCHILD,,,1000,145,157,604,421,505,135,394,
NewCHILD,,,1000,461,794,252,921,823,724,348,
NewCHILD,,,926,133,278,277,769,738,441,1000,
NewCHILD,,,875,403,695,221,806,720,1000,305,
NewCHILD,,,1000,90,593,677,779,758,520,413,
NewCHILD,,,1000,206,224,424,648,758,193,350,
NewCHILD,,,1000,164,158,583,940,529,513,985,
NewCHILD,,,1000,164,158,834,940,529,359,985,
NewCHILD,,,1000,49,397,677,734,529,425,718,
NewCHILD,,,1000,399,687,219,797,712,989,302,
NewCHILD,,,1000,522,371,345,926,444,410,262,
NewCHILD,,,957,291,108,595,989,1000,248,429,
NewCHILD,,,1000,418,720,229,835,746,328,316,
NewCHILD,,,1000,399,687,517,797,712,989,302,
NewCHILD,,,818,377,323,207,1000,673,296,285,
NewCHILD,,,926,133,278,277,959,738,441,1000,
NewCHILD,,,1000,206,224,863,601,722,288,350,
NewCHILD,,,949,379,652,491,757,1000,939,287,
NewCHILD,,,1000,399,771,219,797,712,989,302,
NewCHILD,,,1000,206,224,863,601,722,504,563,
NewCHILD,,,778,252,96,522,669,925,277,1000,
NewCHILD,,,1000,419,687,517,797,712,989,302,
NewCHILD,,,1000,90,133,677,779,758,520,583,
NewCHILD,,,1000,153,148,544,877,494,479,918,
NewCHILD,,,768,354,610,194,708,632,1000,268,
NewCHILD,,,1000,164,351,583,940,529,179,985,
NewCHILD,,,1000,95,198,197,546,524,313,710,
NewCHILD,,,1000,206,224,863,601,722,600,563,
NewCHILD,,,1000,90,133,677,779,758,520,415,
NewCHILD,,,1000,553,611,677,779,758,734,413,
NewCHILD,,,1000,399,771,219,797,968,989,302,
NewCHILD,,,1000,164,158,583,940,599,179,985,
NewCHILD,,,926,133,679,277,959,738,441,1000,
NewCHILD,,,1000,164,846,583,940,529,179,985,
NewCHILD,,,1000,37,297,513,598,396,318,217,
NewCHILD,,,1000,206,224,424,831,758,193,350,
NewCHILD,,,1000,206,416,863,601,722,288,350,
NewCHILD,,,1000,95,198,197,887,524,313,710,
NewCHILD,,,1000,399,771,219,802,968,989,302,
